id,company1,company2,company3,company4,company5,company6,namemine,town,province,latitude,longitude,open1,close1,open2,close2,open3,close3,commodity1,commodity2,commodity3,commodity4,commodity5,commodity6,commodity7,commodity8,active_status
890,Agnew Lake Mines,N/A,N/A,N/A,N/A,N/A,Agnew Lake,Elliot Lake,Ontario,46.431,-81.62501,1977,1983,N/A,N/A,N/A,N/A,Uranium,N/A,N/A,N/A,N/A,N/A,N/A,N/A,False
891,Afton Mines,Afton Operating,N/A,N/A,N/A,N/A,N/A,Kamloops,British Columbia,50.661111,-120.515,1977,2018,N/A,N/A,N/A,N/A,Copper,Gold,Silver,Molybdenum,Palladium,N/A,N/A,N/A,False
892,Esso Resources Canada,Westminer Canada,N/A,N/A,N/A,N/A,N/A,Gays River,Nova Scotia,45.029524,-63.36771908,1979,1982,1991,1991,N/A,N/A,Zinc,Lead,Iron,Copper,Barium,Fluorine,N/A,N/A,False
893,Goldlund Mines,N/A,N/A,N/A,N/A,N/A,N/A,Echo Township,Ontario,49.89671,-92.34736,1980,1985,N/A,N/A,N/A,N/A,Gold,N/A,N/A,N/A,N/A,N/A,N/A,N/A,False
894,B Miller,Homestake Canada,N/A,N/A,N/A,N/A,N/A,Nicholson,British Columbia,51.211111,-116.86027,1980,1997,N/A,N/A,N/A,N/A,Silica,Aggregate,N/A,N/A,N/A,N/A,N/A,N/A,False
895,Flin Flon Mines,N/A,N/A,N/A,N/A,N/A,Rio,Rio Mine,Saskatchewan,54.56666667,-101.8833333,1980,1984,N/A,N/A,N/A,N/A,Gold,N/A,N/A,N/A,N/A,N/A,N/A,N/A,False
896,Avonlea Mineral Industries,Canadian Clay Products,N/A,N/A,N/A,N/A,Wilcox,Wilcox,Saskatchewan,49.960179,-104.8187553,1981,2022,N/A,N/A,N/A,N/A,Bentonite,N/A,N/A,N/A,N/A,N/A,N/A,N/A,True
897,Highmont Operating,Teck,N/A,N/A,N/A,N/A,Highmont,Highland Valley,British Columbia,50.431666,-120.99805,1981,1984,N/A,N/A,N/A,N/A,Copper,Molybdenum,N/A,N/A,N/A,N/A,N/A,N/A,False
898,Equity Silver Mines,N/A,N/A,N/A,N/A,N/A,N/A,Houston,British Columbia,54.189444,-126.26333,1981,1994,N/A,N/A,N/A,N/A,Silver,Copper,Gold,Antimony,Arsenic,N/A,N/A,N/A,False
899,Camchib Resources,N/A,N/A,N/A,N/A,N/A,N/A,Chibougamau,Quebec,49.91693905,-74.37846241,1982,1986,N/A,N/A,N/A,N/A,Copper,Gold,Silver,N/A,N/A,N/A,N/A,N/A,False
900,Hudson Bay Mining and Smelting,N/A,N/A,N/A,N/A,N/A,Spruce Point,N/A,Manitoba,54.575,-100.4013889,1982,1992,N/A,N/A,N/A,N/A,Copper,Zinc,Silver,Gold,N/A,N/A,N/A,N/A,False
901,Cullaton Lake Gold Mines,OBrien Gold Mines,N/A,N/A,N/A,N/A,Cullaton Lake Gold,Whale Cove,Nunavut,61.26666667,-98.5,1982,1985,N/A,N/A,N/A,N/A,Gold,N/A,N/A,N/A,N/A,N/A,N/A,N/A,False
902,Aurun Mines,N/A,N/A,N/A,N/A,N/A,N/A,Empire Valley,British Columbia,51.345277,-122.35166,1983,1987,N/A,N/A,N/A,N/A,Perlite,Pozzolan,N/A,N/A,N/A,N/A,N/A,N/A,False
903,Noranda,N/A,N/A,N/A,N/A,N/A,N/A,Goldstream Mine,British Columbia,51.624999,-118.42888,1983,1996,N/A,N/A,N/A,N/A,Copper,Silver,Gold,Zinc,Cadmium,Antimony,N/A,N/A,False
904,Quintette Coal,N/A,N/A,N/A,N/A,N/A,Quintette,Tumbler Ridge,British Columbia,55.027221,-121.19055,1983,2000,N/A,N/A,N/A,N/A,Coal,N/A,N/A,N/A,N/A,N/A,N/A,N/A,False
905,Key Lake Mining,Cameco,N/A,N/A,N/A,N/A,Key Lake,Key Lake,Saskatchewan,57.201114,-105.666104,1983,2018,N/A,N/A,N/A,N/A,Uranium,N/A,N/A,N/A,N/A,N/A,N/A,N/A,False
906,Giant Yellowknife Mines,N/A,N/A,N/A,N/A,N/A,Salmita,N/A,Northwest Territories,64.07916667,-111.2458333,1983,1987,N/A,N/A,N/A,N/A,Gold,N/A,N/A,N/A,N/A,N/A,N/A,N/A,False
907,Rio Algom,N/A,N/A,N/A,N/A,N/A,East Kemptville,"East Kemptville, Yarmouth County",Nova Scotia,44.103137,-65.68087932,1984,1992,N/A,N/A,N/A,N/A,Tin,Copper,Zinc,Silver,N/A,N/A,N/A,N/A,False
908,Asarco Exploration Company of Canada,Lake Asbestos of Canada,N/A,N/A,N/A,N/A,Aquarius,Maclem Twp,Ontario,48.53189,-80.86851,1984,1988,N/A,N/A,N/A,N/A,Gold,N/A,N/A,N/A,N/A,N/A,N/A,N/A,False
909,Baymag Mines,N/A,N/A,N/A,N/A,N/A,Mt. Brussilof,Radium Hot Springs,British Columbia,50.788888,-115.67888,1984,2015,N/A,N/A,N/A,N/A,Magnesia,N/A,N/A,N/A,N/A,N/A,N/A,N/A,False
910,Gordex Minerals,N/A,N/A,N/A,N/A,N/A,N/A,Cape Spencer,New Brunswick,45.19832,-65.91163,1986,1988,N/A,N/A,N/A,N/A,Gold,N/A,N/A,N/A,N/A,N/A,N/A,N/A,False
911,Sussex Silica,Atlantic Silica,N/A,N/A,N/A,N/A,N/A,Poodiac,New Brunswick,45.607191,-65.534962,1986,2022,N/A,N/A,N/A,N/A,Silica,N/A,N/A,N/A,N/A,N/A,N/A,N/A,True
