id,company1,company2,company3,company4,company5,company6,namemine,town,province,latitude,longitude,open1,close1,open2,close2,open3,close3,commodity1,commodity2,commodity3,commodity4,commodity5,commodity6,commodity7,commodity8,active_status
111,Baroid of Canada,N/A,N/A,N/A,N/A,N/A,N/A,Onoway,Alberta,53.70356602,-114.1930729,1960,1989,N/A,N/A,N/A,N/A,Bentonite,N/A,N/A,N/A,N/A,N/A,N/A,N/A,False
112,Coast Copper,Imasco Minerals,N/A,N/A,N/A,N/A,N/A,Benson Lake,British Columbia,59.58272,-133.65358,1960,1973,1985,2016,N/A,N/A,Copper,Magnetite,Iron,Gold,Silver,Limestone,N/A,N/A,False
113,Bestwall Gypsum,Georgia Pacific Corps,Bestwall Gypsum Division,Macleod Resources,N/A,N/A,River Denys,River Denys,Nova Scotia,45.83693,-61.17805,1964,2012,N/A,N/A,N/A,N/A,Gypsum,N/A,N/A,N/A,N/A,N/A,N/A,N/A,False
114,Raymo Processing,Consolidated Rambler Mines,N/A,N/A,N/A,N/A,Rambler Tailings,Baie Verte,Newfoundland and Labrador,49.88333,-56.08333,1964,1982,1996,1997,N/A,N/A,Copper,Gold,Silver,Zinc,Cadmium,Lead,N/A,N/A,False
115,Norbeau Mines,N/A,N/A,N/A,N/A,N/A,Norbeau,Chibougamau,Quebec,49.959221,-74.305286,1965,1969,N/A,N/A,N/A,N/A,Gold,Silver,Copper,Arsenic,N/A,N/A,N/A,N/A,False
116,Chemical Lime Company,Texada Lime,N/A,N/A,N/A,N/A,N/A,Fort Langley,British Columbia,49.18952188,-122.6606314,1970,2022,N/A,N/A,N/A,N/A,Lime,N/A,N/A,N/A,N/A,N/A,N/A,N/A,True
117,Gibraltar Mines,Westmin Resources and Boliden Westmin,Taseco Mines and Ledcor Mining,Placer Development,N/A,N/A,Gibraltar,McLeese Lake,British Columbia,52.529808,-122.286536,1972,1998,2004,2022,N/A,N/A,Copper,Molybdenum,N/A,N/A,N/A,N/A,N/A,N/A,True
118,Bradina Joint Venture,Pacific Houston,Equity Metals,N/A,N/A,N/A,Silver Queen,Owen Lake,British Columbia,54.083333,-126.716111,1972,2022,N/A,N/A,N/A,N/A,Silver,Lead,Zinc,Gold,Copper,N/A,N/A,N/A,True
119,Calcitherm Nederland BV,Carmeuse North America Group,Beachville,N/A,N/A,N/A,Plant,Ingersoll,Ontario,43.09166447,-80.84047676,1973,2022,N/A,N/A,N/A,N/A,Lime,N/A,N/A,N/A,N/A,N/A,N/A,N/A,True
120,Luzenac,N/A,N/A,N/A,N/A,N/A,Penhorwood,Penhorwood Township,Ontario,48.19416,-82.09663,1973,1994,N/A,N/A,N/A,N/A,Talc,N/A,N/A,N/A,N/A,N/A,N/A,N/A,False
121,Westroc Industries,N/A,N/A,N/A,N/A,N/A,Drumbo,Clarkson,Ontario,43.22479,-80.61253,1978,1994,N/A,N/A,N/A,N/A,Gypsum,N/A,N/A,N/A,N/A,N/A,N/A,N/A,False
122,Yava Mines,N/A,N/A,N/A,N/A,N/A,Silvermines,"Salmon River area, Cape Breton",Nova Scotia,45.8665,-60.4023,1979,1981,N/A,N/A,N/A,N/A,Lead,N/A,N/A,N/A,N/A,N/A,N/A,N/A,False
123,Armand Sicotte et Fils,Les Sables Silco,N/A,N/A,N/A,N/A,Sainte-Clotilde (Armand Sicotte) or Marcil Quarry,Howick/Saint-Clothilde,Quebec,45.138417,-73.644215,1980,2022,N/A,N/A,N/A,N/A,Silica,N/A,N/A,N/A,N/A,N/A,N/A,N/A,True
124,Westar Mining,Kaiser Resource,Teck Cominco,BC Coal,N/A,N/A,"Elkview, formely Balmer",Sparwood,British Columbia,49.78611,-114.82749,1980,2015,N/A,N/A,N/A,N/A,Coal,N/A,N/A,N/A,N/A,N/A,N/A,N/A,False
125,Gregg River Resources,N/A,N/A,N/A,N/A,N/A,Gregg River,Hinton,Alberta,53.09308204,-117.5087097,1980,2000,N/A,N/A,N/A,N/A,Coal,N/A,N/A,N/A,N/A,N/A,N/A,N/A,False
126,Obed Mountain Coal,N/A,N/A,N/A,N/A,N/A,Obed-Marsh,Hinton,Alberta,53.60719525,-117.4604471,1980,2003,N/A,N/A,N/A,N/A,Coal,N/A,N/A,N/A,N/A,N/A,N/A,N/A,False
127,Orofino Resources,Westfield Minerals,N/A,N/A,N/A,N/A,Grandoro,Davis Twp.,Ontario,46.65107,-80.61542,1981,1988,N/A,N/A,N/A,N/A,Gold,Copper,N/A,N/A,N/A,N/A,N/A,N/A,False
128,Kidd Creek Mines,Falconbridge,Placer Dome,N/A,N/A,N/A,Owl Creek,Timmins,Ontario,48.55056,-81.13944,1981,1990,N/A,N/A,N/A,N/A,Gold,N/A,N/A,N/A,N/A,N/A,N/A,N/A,False
129,Zenmac Metal Mines,N/A,N/A,N/A,N/A,N/A,N/A,Schreiber,Ontario,48.97755,-87.36555,1981,1998,N/A,N/A,N/A,N/A,Zinc,N/A,N/A,N/A,N/A,N/A,N/A,N/A,False
130,Ateba Mines,Teck,Norex Mines,Beardmore Gold Mines,N/A,N/A,N/A,Beardmore,Ontario,49.610917,-87.938508,1981,1989,N/A,N/A,N/A,N/A,Gold,N/A,N/A,N/A,N/A,N/A,N/A,N/A,False
131,Potash Company of America,Potash Company of America,N/A,N/A,N/A,N/A,Sussex (Lower Millstream Potash),Sussex,New Brunswick,45.4435,-65.27,1983,2022,N/A,N/A,N/A,N/A,Potash,Salt,N/A,N/A,N/A,N/A,N/A,N/A,True
132,New Privateer Mine,N/A,N/A,N/A,N/A,N/A,New Privateer,Zeballos,British Columbia,50.03028,-126.81889,1983,1991,N/A,N/A,N/A,N/A,Gold,N/A,N/A,N/A,N/A,N/A,N/A,N/A,False
133,Quinsam Coal,Hillsborough Resources,N/A,N/A,N/A,N/A,Quinsam,Quinsam Mine,British Columbia,49.935277,-125.48749,1986,2015,2017,2022,N/A,N/A,Coal,Fireclay,Clay,N/A,N/A,N/A,N/A,N/A,True
134,Audrey Resources,Breakwater Resources,N/A,N/A,N/A,N/A,Mobrun (Bouchard-Hebert),Rouyn-Noranda,Quebec,48.389454,-78.901713,1987,1992,1996,2005,N/A,N/A,Zinc,Copper,Gold,Silver,N/A,N/A,N/A,N/A,False
135,Reiss Lime of Canada,Koch Minerals Company,Northern Lime,Lafarge Canada,N/A,N/A,Reiss Lime,Spragge,Ontario,46.20152355,-82.6931354,1988,2022,N/A,N/A,N/A,N/A,Lime,N/A,N/A,N/A,N/A,N/A,N/A,N/A,True
136,Dumagami Mines,Agnico Eagle Mines,Delfer Gold Mines,Agnico Eagle Mines,N/A,N/A,LaRonde,Cadillac,Quebec,48.250795,-78.441603,1988,2022,N/A,N/A,N/A,N/A,Gold,Silver,Copper,Zinc,Lead,N/A,N/A,N/A,True
137,Saskatoon Chemicals,N/A,N/A,N/A,N/A,N/A,N/A,Saskatoon,Saskatchewan,52.15826771,-106.6747102,1989,1991,N/A,N/A,N/A,N/A,Salt,N/A,N/A,N/A,N/A,N/A,N/A,N/A,False
138,Aur Resources,Novicourt,Teck,N/A,N/A,N/A,Louvicourt,Val d'Or,Quebec,48.1003,-77.502718,1994,2005,N/A,N/A,N/A,N/A,Copper,Zinc,Silver,Gold,Lead,N/A,N/A,N/A,False
139,MarFred Minerals,Extender Minerals of Canada,N/A,N/A,N/A,N/A,Tracey Lake,N/A,Ontario,47.4162,-81.023788,2000,2017,N/A,N/A,N/A,N/A,Barite,N/A,N/A,N/A,N/A,N/A,N/A,N/A,False
140,Bell Allard Mines,N/A,N/A,N/A,N/A,N/A,Bell Allard,Matagami,Quebec,49.700976,-77.725148,2000,2004,N/A,N/A,N/A,N/A,Zinc,Silver,Copper,Gold,Lead,N/A,N/A,N/A,False
141,Black Bull Resources,N/A,N/A,N/A,N/A,N/A,White Rock,Shelburne,Nova Scotia,44.10752,-65.694008,2002,2011,N/A,N/A,N/A,N/A,Quartz,N/A,N/A,N/A,N/A,N/A,N/A,N/A,False
142,River Gold Mines,N/A,N/A,N/A,N/A,N/A,Mishi,Wawa,Ontario,48.10967,-85.45982,2002,2022,N/A,N/A,N/A,N/A,Gold,N/A,N/A,N/A,N/A,N/A,N/A,N/A,True
143,Brogan Mining Company,Old Sydney Collieries,N/A,N/A,N/A,N/A,Little Pond,Alder Point,Nova Scotia,45.31685,-62.04859,2004,2005,N/A,N/A,N/A,N/A,Coal,N/A,N/A,N/A,N/A,N/A,N/A,N/A,False
144,Falconbridge,Xstrata,Glencore,N/A,N/A,N/A,Montcalm,Timmins,Ontario,48.6659,-82.09741,2004,2009,N/A,N/A,N/A,N/A,Nickel,Copper,Platinum,Cobalt,Silver,Gold,N/A,N/A,False
145,Hurley Slate Works Company,N/A,N/A,N/A,N/A,N/A,Hurley or Burgoyne's Cove quarry,Trinity Bay,Newfoundland and Labrador,47.51756381,-52.95939564,2005,2010,N/A,N/A,N/A,N/A,Dimension Stone,N/A,N/A,N/A,N/A,N/A,N/A,N/A,False
146,De Beers,N/A,N/A,N/A,N/A,N/A,Victor Diamond,James Bay Lowland,Ontario,52.82667,-83.88528,2008,2019,N/A,N/A,N/A,N/A,Diamond,N/A,N/A,N/A,N/A,N/A,N/A,N/A,False
147,Lafarge Canada,N/A,N/A,N/A,N/A,N/A,Woodstock,N/A,Ontario,43.0987,-80.903,1956,2008,N/A,N/A,N/A,N/A,Limestone,N/A,N/A,N/A,N/A,N/A,N/A,N/A,False
148,Vale Canada,N/A,N/A,N/A,N/A,N/A,Birchtree,N/A,Manitoba,55.701479,-97.927009,1965,1978,1989,2017,N/A,N/A,Nickel,Copper,Cobalt,Platinum,N/A,N/A,N/A,N/A,False
149,First Nickel,Falconbrigde,N/A,N/A,N/A,N/A,Lockerby,N/A,Ontario,46.433,-81.3238,1971,2008,2011,2022,N/A,N/A,Nickel,Copper,Cobalt,Platinum,Gold,Silver,Selenium,Tellurium,True
150,Teck Resources,N/A,N/A,N/A,N/A,N/A,Cardinal River (Cheviot),N/A,Alberta,53.0667,-117.4,2005,2020,N/A,N/A,N/A,N/A,Coal,N/A,N/A,N/A,N/A,N/A,N/A,N/A,False
151,Anglo American plc,N/A,N/A,N/A,N/A,N/A,Trend,N/A,British Columbia,54.898333,-120.961706,2005,2014,N/A,N/A,N/A,N/A,Coal,N/A,N/A,N/A,N/A,N/A,N/A,N/A,False
152,Richmont Mines,N/A,N/A,N/A,N/A,N/A,Island Gold,N/A,Ontario,48.297,-84.4429,2007,2022,N/A,N/A,N/A,N/A,Gold,N/A,N/A,N/A,N/A,N/A,N/A,N/A,True
153,Liberty Mines,Northern Sun Mining,N/A,N/A,N/A,N/A,Redstone,N/A,Ontario,48.31694444,-81.16472222,2007,2022,N/A,N/A,N/A,N/A,Nickel,N/A,N/A,N/A,N/A,N/A,N/A,N/A,True
154,First Metals,N/A,N/A,N/A,N/A,N/A,Fabie Bay,N/A,Quebec,48.4407,-79.3526,2007,2009,N/A,N/A,N/A,N/A,Copper,Zinc,Gold,Silver,N/A,N/A,N/A,N/A,False
155,Teck Cominco,N/A,N/A,N/A,N/A,N/A,Duck Pond,N/A,Newfoundland and Labrador,48.630978,-56.50069,2007,2015,N/A,N/A,N/A,N/A,Copper,Zinc,N/A,N/A,N/A,N/A,N/A,N/A,False
156,Forty Two Metals,N/A,N/A,N/A,N/A,N/A,MAX,N/A,British Columbia,50.6457,-117.586,2007,2010,2011,2022,N/A,N/A,Molybdenum,N/A,N/A,N/A,N/A,N/A,N/A,N/A,True
157,San Gold,N/A,N/A,N/A,N/A,N/A,San Gold No. 1,N/A,Manitoba,51.0258,-95.6216,2007,2008,N/A,N/A,N/A,N/A,Gold,N/A,N/A,N/A,N/A,N/A,N/A,N/A,False
158,Sherwood Copper,Capstone Mining,N/A,N/A,N/A,N/A,Minto,N/A,Yukon,62.6167,-137.249,2007,2018,N/A,N/A,N/A,N/A,Copper,Gold,N/A,N/A,N/A,N/A,N/A,N/A,False
159,De Beers Canada,N/A,N/A,N/A,N/A,N/A,Snap Lake,N/A,Northwest Territories,63.6027,-110.869,2007,2015,N/A,N/A,N/A,N/A,Diamond,N/A,N/A,N/A,N/A,N/A,N/A,N/A,False
160,FNX Mining Company,KGHM Polska Miedz SA,N/A,N/A,N/A,N/A,Podolsky,N/A,Ontario,46.7775,-80.8763,2008,2013,N/A,N/A,N/A,N/A,Copper,Nickel,PM,N/A,N/A,N/A,N/A,N/A,False
161,Agnico Eagle Mines,N/A,N/A,N/A,N/A,N/A,Goldex,N/A,Quebec,48.0926,-77.8733,2008,2011,2013,2022,N/A,N/A,Gold,Silver,N/A,N/A,N/A,N/A,N/A,N/A,True
162,Alexis Minerals,QMX Gold,N/A,N/A,N/A,N/A,Lac Herbin,N/A,Quebec,48.1361,-77.6539,2008,2015,N/A,N/A,N/A,N/A,Gold,Silver,N/A,N/A,N/A,N/A,N/A,N/A,False
163,Beaver Brook Antimony Mine,China Minmetals Rare Earth Group,N/A,N/A,N/A,N/A,Beaver Brook,N/A,Newfoundland and Labrador,48.4253,-55.1126,2008,2013,2021,2022,N/A,N/A,Antimony,N/A,N/A,N/A,N/A,N/A,N/A,N/A,True
164,Metanor Resources,N/A,N/A,N/A,N/A,N/A,Barry,N/A,Quebec,48.9903,-75.766,2008,2022,N/A,N/A,N/A,N/A,Gold,Silver,N/A,N/A,N/A,N/A,N/A,N/A,True
165,Merit Mining,N/A,N/A,N/A,N/A,N/A,Lexington-Grenoble,N/A,British Columbia,49.0088,-118.614,2008,2008,N/A,N/A,N/A,N/A,Copper,Gold,N/A,N/A,N/A,N/A,N/A,N/A,False
166,Xstrata Zinc Canada,Glencore plc,N/A,N/A,N/A,N/A,Perseverance,N/A,Quebec,49.716,-77.7189,2008,2013,N/A,N/A,N/A,N/A,Zinc,Copper,Gold,Silver,N/A,N/A,N/A,N/A,False
167,Anaconda Mining,N/A,N/A,N/A,N/A,N/A,Pine Cove,N/A,Newfoundland and Labrador,49.9597,-56.1295,2008,2022,N/A,N/A,N/A,N/A,Gold,N/A,N/A,N/A,N/A,N/A,N/A,N/A,True
168,De Beers Canada,N/A,N/A,N/A,N/A,N/A,Victor,N/A,Ontario,52.8206,-83.8817,2008,2019,N/A,N/A,N/A,N/A,Diamond,N/A,N/A,N/A,N/A,N/A,N/A,N/A,False
169,Agnico Eagle Mines,N/A,N/A,N/A,N/A,N/A,Lapa,N/A,Quebec,48.22957,-78.288149,2009,2018,N/A,N/A,N/A,N/A,Gold,N/A,N/A,N/A,N/A,N/A,N/A,N/A,False
170,Liberty Mines,N/A,N/A,N/A,N/A,N/A,McWatters,N/A,Ontario,48.311227,-81.03661,2009,2012,N/A,N/A,N/A,N/A,Nickel,N/A,N/A,N/A,N/A,N/A,N/A,N/A,False
171,Apollo Gold,N/A,N/A,N/A,N/A,N/A,Black Fox,N/A,Ontario,48.534362,-80.340814,2009,2022,N/A,N/A,N/A,N/A,Gold,N/A,N/A,N/A,N/A,N/A,N/A,N/A,True
172,San Gold,N/A,N/A,N/A,N/A,N/A,Hinge,N/A,Manitoba,51.0258,-95.6216,2009,2015,N/A,N/A,N/A,N/A,Gold,N/A,N/A,N/A,N/A,N/A,N/A,N/A,False
173,Champion Irons,Consolidated Thompson Iron Mines,Cliffs Natural Resources,N/A,N/A,N/A,Bloom Lake,N/A,Quebec,52.84,-67.28,2009,2010,2015,2018,N/A,N/A,Iron,N/A,N/A,N/A,N/A,N/A,N/A,N/A,False
174,Crowflight Minerals,CaNickel Mining,N/A,N/A,N/A,N/A,Bucko,N/A,Manitoba,54.878,-98.6576,2009,2012,N/A,N/A,N/A,N/A,Nickel,Copper,Cobalt,Platinum,N/A,N/A,N/A,N/A,False
175,URSA Major Minerals,Prophecy Platinum,N/A,N/A,N/A,N/A,Shakespeare,N/A,Ontario,46.33417,-81.85944,2010,2012,N/A,N/A,N/A,N/A,Nickel,Copper,Platinum,Gold,Cobalt,N/A,N/A,N/A,False
176,St Andrew Goldfields,N/A,N/A,N/A,N/A,N/A,Hislop,N/A,Ontario,48.34389,-80.30611,2010,2014,N/A,N/A,N/A,N/A,Gold,N/A,N/A,N/A,N/A,N/A,N/A,N/A,False
177,Agnico Eagle Mines,N/A,N/A,N/A,N/A,N/A,Meadowbank,N/A,Nunavut,65.025,-96.04889,2010,2022,N/A,N/A,N/A,N/A,Gold,N/A,N/A,N/A,N/A,N/A,N/A,N/A,True
178,Osisko Mining,N/A,N/A,N/A,N/A,N/A,Canadian Malartic,N/A,Quebec,48.129852,-78.100285,2011,2022,N/A,N/A,N/A,N/A,Gold,Silver,N/A,N/A,N/A,N/A,N/A,N/A,True
179,Lake Shore Gold,N/A,N/A,N/A,N/A,N/A,Timmins,N/A,Ontario,48.383275,-81.549826,2011,2022,N/A,N/A,N/A,N/A,Gold,N/A,N/A,N/A,N/A,N/A,N/A,N/A,True
180,Kirkland Lake Gold,St Andrew Goldfields,N/A,N/A,N/A,N/A,Holloway-Holt,N/A,Ontario,48.513,-79.74,2011,2020,N/A,N/A,N/A,N/A,Gold,N/A,N/A,N/A,N/A,N/A,N/A,N/A,False
181,Bralorne Gold Mines,N/A,N/A,N/A,N/A,N/A,Bralorne-Pioneer,N/A,British Columbia,50.777947,-122.821412,2011,2015,N/A,N/A,N/A,N/A,Gold,N/A,N/A,N/A,N/A,N/A,N/A,N/A,False
182,Labrador Iron Mines Holdings,N/A,N/A,N/A,N/A,N/A,James,N/A,Newfoundland and Labrador,54.781569,-66.865862,2011,2013,N/A,N/A,N/A,N/A,Iron,N/A,N/A,N/A,N/A,N/A,N/A,N/A,False
183,Claude Resources,N/A,N/A,N/A,N/A,N/A,Santoy 8,N/A,Saskatchewan,55.66778,-103.414571,2011,2022,N/A,N/A,N/A,N/A,Gold,N/A,N/A,N/A,N/A,N/A,N/A,N/A,True
184,Golden Band Resources,N/A,N/A,N/A,N/A,N/A,Roy Lloyd/Bingo,N/A,Saskatchewan,55.70167,-104.73361,2011,2014,N/A,N/A,N/A,N/A,Gold,N/A,N/A,N/A,N/A,N/A,N/A,N/A,False
185,Yukon Zinc,N/A,N/A,N/A,N/A,N/A,Wolverine,N/A,Yukon,61.41667,-130.1,2011,2015,N/A,N/A,N/A,N/A,Zinc,Silver,Copper,Lead,Gold,N/A,N/A,N/A,False
186,Alexco Resource,N/A,N/A,N/A,N/A,N/A,Bellekeno,N/A,Yukon,63.905576,-135.258268,2011,2013,N/A,N/A,N/A,N/A,Gold,Silver,Lead,Zinc,N/A,N/A,N/A,N/A,False
187,Rocmec Mining,N/A,N/A,N/A,N/A,N/A,Rocmec 1,N/A,Quebec,48.245,-79.503,2012,2022,N/A,N/A,N/A,N/A,Gold,N/A,N/A,N/A,N/A,N/A,N/A,N/A,True
188,New Gold,N/A,N/A,N/A,N/A,N/A,New Afton,N/A,British Columbia,50.661,-120.514,2012,2022,N/A,N/A,N/A,N/A,Gold,Silver,Copper,N/A,N/A,N/A,N/A,N/A,True
189,Canadian Wollastonite,N/A,N/A,N/A,N/A,N/A,St. Lawrence,N/A,Ontario,44.460417,-76.250411,2013,2022,N/A,N/A,N/A,N/A,Wollastonite,N/A,N/A,N/A,N/A,N/A,N/A,N/A,True
190,Richmont Mines,N/A,N/A,N/A,N/A,N/A,Monique,N/A,Quebec,48.188,-77.445,2013,2015,N/A,N/A,N/A,N/A,Gold,N/A,N/A,N/A,N/A,N/A,N/A,N/A,False
191,Metanor Resources,Bonterra Resources,N/A,N/A,N/A,N/A,Bachelor Lake,N/A,Quebec,49.4958,-76.143,2013,2018,N/A,N/A,N/A,N/A,Gold,Silver,N/A,N/A,N/A,N/A,N/A,N/A,False
192,Glencore plc,N/A,N/A,N/A,N/A,N/A,Bracemac-McLeod,N/A,Quebec,49.679,-77.666,2013,2022,N/A,N/A,N/A,N/A,Zinc,Copper,Gold,Silver,N/A,N/A,N/A,N/A,True
193,Detour Gold,N/A,N/A,N/A,N/A,N/A,Detour Lake,N/A,Ontario,50.014,-79.71,2013,2022,N/A,N/A,N/A,N/A,Gold,N/A,N/A,N/A,N/A,N/A,N/A,N/A,True
194,HudBay Minerals,N/A,N/A,N/A,N/A,N/A,Lalor Lake,N/A,Manitoba,54.862,-100.155,2013,2022,N/A,N/A,N/A,N/A,Copper,Zinc,Gold,Silver,N/A,N/A,N/A,N/A,True
195,Vale,N/A,N/A,N/A,N/A,N/A,Totten,N/A,Ontario,46.381174,-81.454839,2014,2022,N/A,N/A,N/A,N/A,Nickel,Copper,Cobalt,Platinum,Gold,N/A,N/A,N/A,True
196,Wallbridge Mining Company,N/A,N/A,N/A,N/A,N/A,Broken Hammer,N/A,Ontario,46.764596,-81.034405,2014,2022,N/A,N/A,N/A,N/A,Copper,Nickel,Platinum,N/A,N/A,N/A,N/A,N/A,True
197,IAMGOLD,N/A,N/A,N/A,N/A,N/A,Westwood,N/A,Quebec,48.256,-78.502,2014,2022,N/A,N/A,N/A,N/A,Gold,Copper,Silver,Zinc,N/A,N/A,N/A,N/A,True
198,HudBay Minerals,N/A,N/A,N/A,N/A,N/A,Reed,N/A,Manitoba,54.569,-100.669,2014,2018,N/A,N/A,N/A,N/A,Copper,Zinc,Gold,Silver,N/A,N/A,N/A,N/A,False
199,Thompson Creek Mining,N/A,N/A,N/A,N/A,N/A,Mt Milligan,N/A,British Columbia,55.118,-124.031,2014,2022,N/A,N/A,N/A,N/A,Copper,Gold,N/A,N/A,N/A,N/A,N/A,N/A,True
200,ArcelorMittal Mines Canada,N/A,N/A,N/A,N/A,N/A,Mary River,N/A,Nunavut,71.340446,-71.340446,2014,2022,N/A,N/A,N/A,N/A,Iron,N/A,N/A,N/A,N/A,N/A,N/A,N/A,True
201,St Andrew Goldfields,Kirkland Lake Gold,N/A,N/A,N/A,N/A,Taylor,N/A,Ontario,48.56667,-80.61333,2015,2020,N/A,N/A,N/A,N/A,Gold,N/A,N/A,N/A,N/A,N/A,N/A,N/A,False
202,Goldcorp,N/A,N/A,N/A,N/A,N/A,Éléonore,N/A,Quebec,52.69889,-76.08667,2015,2022,N/A,N/A,N/A,N/A,Gold,N/A,N/A,N/A,N/A,N/A,N/A,N/A,True
203,Banks Island Gold,N/A,N/A,N/A,N/A,N/A,Yellow Giant,N/A,British Columbia,53.36257,-130.12352,2015,2015,N/A,N/A,N/A,N/A,Gold,N/A,N/A,N/A,N/A,N/A,N/A,N/A,False
204,Pine Valley Mining,Western Coal,Conuma Coal Resources,Walter Energy,Conuma Coal Resources,N/A,Willow Creek,Tumbler Ridge,British Columbia,55.619443,-122.22194,2015,2010,2014,2018,N/A,N/A,Coal,N/A,N/A,N/A,N/A,N/A,N/A,N/A,False
205,Imperial Metals,N/A,N/A,N/A,N/A,N/A,Red Chris,N/A,British Columbia,57.7,-129.78333,2015,2022,N/A,N/A,N/A,N/A,Gold,Silver,Copper,N/A,N/A,N/A,N/A,N/A,True
206,Cameco,N/A,N/A,N/A,N/A,N/A,Cigar Lake,N/A,Saskatchewan,58.06819,-104.54123,2015,2022,N/A,N/A,N/A,N/A,Uranium,N/A,N/A,N/A,N/A,N/A,N/A,N/A,True
207,Stornoway Diamond,N/A,N/A,N/A,N/A,N/A,Renard,N/A,Quebec,52.813913,-72.190579,2016,2022,N/A,N/A,N/A,N/A,Diamond,N/A,N/A,N/A,N/A,N/A,N/A,N/A,True
208,Cur Mining,N/A,N/A,N/A,N/A,N/A,Silvertip,N/A,British Columbia,59.92,-130.34,2016,2020,N/A,N/A,N/A,N/A,Silver,Zinc,Lead,Gold,N/A,N/A,N/A,N/A,False
209,Aurelius Minerals,Maritime Dufferin Gold,N/A,N/A,N/A,N/A,Dufferin,N/A,Nova Scotia,44.9719,-62.3929,2017,2019,N/A,N/A,N/A,N/A,Gold,N/A,N/A,N/A,N/A,N/A,N/A,N/A,False
210,Atlantic Gold,N/A,N/A,N/A,N/A,N/A,Moose River Consolidated,N/A,Nova Scotia,44.98243,-62.94292,2017,2022,N/A,N/A,N/A,N/A,Gold,N/A,N/A,N/A,N/A,N/A,N/A,N/A,True
211,Kameron Collieries ULC,N/A,N/A,N/A,N/A,N/A,Donkin,N/A,Nova Scotia,46.178108,-59.825861,2017,2020,N/A,N/A,N/A,N/A,Coal,N/A,N/A,N/A,N/A,N/A,N/A,N/A,False
212,New Gold,N/A,N/A,N/A,N/A,N/A,Rainy River,N/A,Ontario,48.833,-94.012,2017,2022,N/A,N/A,N/A,N/A,Gold,Silver,Nickel,Copper,Cobalt,N/A,N/A,N/A,True
213,KS Potash Canada,N/A,N/A,N/A,N/A,N/A,Bethune,N/A,Saskatchewan,50.62917,-105.26167,2017,2022,N/A,N/A,N/A,N/A,Potash,N/A,N/A,N/A,N/A,N/A,N/A,N/A,True
214,Pretrium Resources,N/A,N/A,N/A,N/A,N/A,Brucejack,N/A,British Columbia,56.47554,-130.21783,2017,2022,N/A,N/A,N/A,N/A,Gold,Silver,N/A,N/A,N/A,N/A,N/A,N/A,True
215,De Beers Canada,N/A,N/A,N/A,N/A,N/A,Gahcho Kué,N/A,Northwest Territories,63.44528,-109.21194,2017,2022,N/A,N/A,N/A,N/A,Diamond,N/A,N/A,N/A,N/A,N/A,N/A,N/A,True
216,TMAC Resources,N/A,N/A,N/A,N/A,N/A,Hope Bay,N/A,Nunavut,68.137186,-106.612652,2017,2022,N/A,N/A,N/A,N/A,Gold,N/A,N/A,N/A,N/A,N/A,N/A,N/A,True
217,Canada Fluorspar,N/A,N/A,N/A,N/A,N/A,St. Lawrence,N/A,Newfoundland and Labrador,46.9038,-55.4003,2018,2022,N/A,N/A,N/A,N/A,Fluorspar,N/A,N/A,N/A,N/A,N/A,N/A,N/A,True
218,Agnico Eagle Mines,N/A,N/A,N/A,N/A,N/A,LaRonde - Zone 5,N/A,Quebec,48.2516,-78.451722,2018,2022,N/A,N/A,N/A,N/A,Gold,N/A,N/A,N/A,N/A,N/A,N/A,N/A,True
219,Contemporary Amperex Technology,N/A,N/A,N/A,N/A,N/A,North American Lithium,N/A,Quebec,48.41154,-77.80934,2018,2019,N/A,N/A,N/A,N/A,Lithium,N/A,N/A,N/A,N/A,N/A,N/A,N/A,False
220,Harte Gold,N/A,N/A,N/A,N/A,N/A,Sugar Zone,N/A,Ontario,48.80496,-85.00401,2018,2022,N/A,N/A,N/A,N/A,Gold,N/A,N/A,N/A,N/A,N/A,N/A,N/A,True
221,Cur Mining,N/A,N/A,N/A,N/A,N/A,Silvertip,N/A,British Columbia,59.92,-130.34,2018,2022,N/A,N/A,N/A,N/A,Silver,Zinc,Lead,N/A,N/A,N/A,N/A,N/A,True
222,Newmont Goldcorp,N/A,N/A,N/A,N/A,N/A,Borden,N/A,Ontario,47.871883,-83.260981,2019,2022,N/A,N/A,N/A,N/A,Gold,N/A,N/A,N/A,N/A,N/A,N/A,N/A,True
223,Evolution Mining,N/A,N/A,N/A,N/A,N/A,Cochenour,N/A,Ontario,51.076504,-93.808445,2019,2022,N/A,N/A,N/A,N/A,Gold,N/A,N/A,N/A,N/A,N/A,N/A,N/A,True
224,Tata Steel Minerals Canada,N/A,N/A,N/A,N/A,N/A,DSO (Goodwood),N/A,Quebec,55.09939,-67.34778,2019,2022,N/A,N/A,N/A,N/A,Iron,N/A,N/A,N/A,N/A,N/A,N/A,N/A,True
225,Agnico Eagle Mines,N/A,N/A,N/A,N/A,N/A,Meliadine,N/A,Nunavut,63.031529,-92.220206,2019,2022,N/A,N/A,N/A,N/A,Gold,N/A,N/A,N/A,N/A,N/A,N/A,N/A,True
226,Victoria Gold,N/A,N/A,N/A,N/A,N/A,Eagle (Dublin Gulch),N/A,Yukon,64.0322,-135.8456,2019,2022,N/A,N/A,N/A,N/A,Gold,N/A,N/A,N/A,N/A,N/A,N/A,N/A,True
